User, Item, Rating, companion:alone, companion:family, companion:na, companion:partner, location:cinema, location:home, location:na, time:na, time:weekday, time:weekend
1077,tt0088763,4,1,0,0,0,0,1,0,0,0,1
1052,tt0088763,5,1,0,0,0,0,1,0,0,1,0
1070,tt0120338,5,0,1,0,0,1,0,0,0,0,1
1045,tt0120338,4,0,1,0,0,0,1,0,0,0,1
1070,tt0120338,5,0,1,0,0,0,1,0,0,0,1
1004,tt0088763,5,1,0,0,0,1,0,0,0,1,0
1031,tt0120338,4,0,1,0,0,1,0,0,0,1,0
1032,tt0088763,4,1,0,0,0,0,1,0,0,1,0
1050,tt0120338,4,0,1,0,0,0,1,0,0,1,0
1071,tt0120338,4,0,1,0,0,0,1,0,0,1,0
1058,tt0120338,1,0,1,0,0,0,1,0,0,1,0
1008,tt0120338,4,0,1,0,0,0,1,0,0,0,1
1063,tt0120338,4,0,1,0,0,1,0,0,0,0,1
1062,tt0088763,3,1,0,0,0,1,0,0,0,1,0
1047,tt0088763,2,1,0,0,0,1,0,0,0,0,1
1116,tt0088763,3,1,0,0,0,1,0,0,0,1,0
1008,tt0088763,4,1,0,0,0,1,0,0,0,0,1
1033,tt0120338,5,0,1,0,0,1,0,0,0,1,0
1115,tt0120338,5,0,1,0,0,1,0,0,0,0,1
1071,tt0120338,4,0,1,0,0,1,0,0,0,1,0
